id,country,name,name_english,name_short,range_left,range_right,left_right,respondents
101,AUS,Labour Party,,ALP,2.5,4.0,3.1,4
102,AUS,Australian Democrats,,AD,5.0,6.0,5.3,4
103,AUS,Liberal Party,,LPA,7.0,8.0,7.5,4
104,AUS,National Country Party,,NCP,7.5,8.0,7.8,4
201,AUT,Kommunistische Partei,Communist Party,KPO,0.0,1.0,0.5,3
202,AUT,Sozialistische Partei,Socialist Party,SPO,2.0,4.5,3.0,3
203,AUT,Volkspartei,People's Party,OVP,5.5,6.0,5.8,3
204,AUT,Freiheitliche Partei,,FPO,6.5,7.5,6.8,3
301,BEL,Parti Communiste/Kommunistische Partij,Communist Party,PCB/KPB,1.0,2.5,1.4,4
302,BEL,Parti Socialiste,Socialist Party - W,PS,2.5,3.0,2.5,4
303,BEL,Rassemblement Wallon,,RW,1.5,3.5,2.6,4
304,BEL,Socialistische Partij,Socialist Party - F,SP,2.5,3.5,2.9,4
305,BEL,Agalev/ECO,Ecologists,A/E,4.0,5.0,4.5,4
306,BEL,Front Democratique des Francophones,,FDF,5.0,7.5,5.6,4
307,BEL,Christelijke Volkspartij,Christian Social Party - F,CVP,5.0,7.0,5.8,4
308,BEL,Parti Social Chretien,Christian-Social Party - W,PSC,5.0,7.5,6.3,4
309,BEL,Volksunie,,VU,5.0,8.5,6.8,4
310,BEL,Parti Reformateur Liberal,Liberals - W,PRL,7.5,8.0,7.6,4
311,BEL,Partij voor Vrijheid en Vooruitgang,Liberals - F,PVV,7.5,8.0,7.8,4
312,BEL,Respect voor Arbeid en Democratie/Union pour la Democratie et le Respect du Travail,,RAD/UDRT,8.5,10.0,9.2,4
313,BEL,Vlaams Blok,,VB,9.5,10.0,9.8,4
401,CAN,New Democratic Party,,NDP,2.5,4.0,3.2,3
402,CAN,Liberal Party,,L,5.0,6.0,5.3,3
403,CAN,Progressive Conservative Party,,PC,6.0,7.5,6.5,3
404,CAN,Social Credit Party,,PCS,7.5,8.0,7.8,3
501,DNK,Venstre Socialisterne,Left Socialist,VS,0.0,2.0,0.8,5
502,DNK,Kommunistiske Parti,Communist Party,DKP,0.0,2.0,1.0,5
503,DNK,Socialistisk Folkeparti,Socialist Peoples,SF,0.0,2.5,1.9,5
504,DNK,Socialdemokratiet,Social Democrat,SD,2.5,4.5,3.8,5
505,DNK,Radikale Venstre,Radical Liberal,RV,4.5,5.0,4.8,5
506,DNK,Centrumdemokraterne,Centre Democrat,CD,5.0,6.0,5.7,5
507,DNK,Kristeligt Folkeparti,Christian Peoples,KRF,6.0,7.5,6.2,5
508,DNK,Venstre,Agrarian Liberal,V,6.0,7.5,6.7,5
509,DNK,Konservative Folkeparti,Conservatives,KF,7.0,7.5,7.3,5
510,DNK,Fremskridtspartiet,Progress Party,FRP,7.0,10.0,8.7,5
601,FIN,Suomen Kansan Demokraattinen Puolue,People's Democratic League -- includes Communists,SKDL,1.5,2.0,1.8,3
602,FIN,Suomen Sosialidemokraattinen Puolue,Social Democrat,SDP,2.5,3.5,3.0,3
603,FIN,Keskustapuolue,Centre Party,KESK,5.0,5.7,5.2,3
604,FIN,Liberaalinen Kansanpuolue,Liberal Party,LKP,5.0,6.0,5.6,3
605,FIN,Suomen Maaseuden Puolue,Rural Party,SMP,5.0,7.0,5.8,3
606,FIN,Ruotsalainen Kansanpuolue,Swedish Party,RKP,6.0,6.3,6.1,3
607,FIN,Suomen Kristillinen Liitto,Christian League,SKL,6.0,8.0,6.8,3
608,FIN,Kansallinen Kokoomus,National Coalition,KOK,7.0,7.6,7.2,3
701,FRA,Parti Communiste,Communist,PCF,1.0,2.0,1.4,6
702,FRA,Parti Socialiste,Socialist,PS,2.0,3.0,2.6,6
703,FRA,Ecologiste,Ecologist,E,2.5,4.5,3.5,6
704,FRA,Radicaux de Gauche,Left Radicals,MRG,3.5,4.0,3.8,6
705,FRA,Union pour la Democratie Francaise,,UDF,6.5,6.8,6.6,6
706,FRA,Rassemblement pour la Republique,,RPR,8.0,8.5,8.2,6
707,FRA,Centre National des Independants et Paysans,,CNIP,8.5,9.0,8.6,6
708,FRA,Front National,,FN,9.5,10.0,9.8,6
709,FRA,Parti des Forces Nouvelles,,PFN,9.5,10.0,9.8,6
801,DEU,Kommunistische Partei,Communist,DKP,0.0,2.5,1.4,12
802,DEU,Die Grunen,Greens,G,2.0,4.0,2.8,12
803,DEU,Sozialdemokratische Partei,Social Democrat,SPD,2.5,5.0,3.3,12
804,DEU,Freie Demokratische Partei,Free Democrat,FDP,4.5,6.0,5.1,12
805,DEU,Christlich Demokratische Union,Christian Democrat,CDU,5.0,8.2,6.7,12
806,DEU,Christlich Soziale Union,Christian Social,CSU,6.0,9.0,7.9,12
901,IRL,Workers Party,,WP,1.0,3.0,1.8,6
902,IRL,Labour Party,,LAB,2.8,4.0,3.6,6
903,IRL,Fianna Fait,,FF,5.0,7.0,6.3,6
904,IRL,Fine Gael,,FG,6.0,8.0,6.8,6
1001,ITA,Democrazia Proletaria,,DP,0.0,1.0,0.5,10
1002,ITA,Partito di Unita Proletaria,,PdUP,0.0,1.0,0.6,10
1003,ITA,Partito Comunista,Communist,PCI,1.0,2.5,1.6,10
1004,ITA,Partito Radicale,Radical,PR,1.0,3.5,2.3,10
1005,ITA,Partito Socialista,Socialist,PSI,2.0,4.5,3.1,10
1006,ITA,Partito Repubblicano,Republican,PRI,3.0,7.0,4.8,10
1007,ITA,Partito Socialdemocratico,Social Democrat,PSDI,3.0,8.0,5.4,10
1008,ITA,Democrazia Cristiana,Christian Democrat,DC,4.0,7.5,5.4,10
1009,ITA,Partito Liberale,Liberal,PLI,5.0,8.0,5.9,10
1010,ITA,Movimento Sociale,,MSI,7.5,10.0,9.1,10
1101,NLD,Pacifistisch Socialistische Partij,Pacifist Socialists,PSP,0.0,1.5,0.6,9
1102,NLD,Communistische Partij,Communist,CPN,0.0,2.0,0.8,9
1103,NLD,Politieke Partij Radikalen,Radical Political Party,PPR,0.0,4.0,1.6,9
1104,NLD,Partij van de Arbeid,Labour,PvdA,2.0,3.0,2.6,9
1105,NLD,Democraten '66,Democrats '66,D'66,3.5,5.0,4.4,9
1106,NLD,Christen-Democratisch Appel,Christian Democratic Appeal,CDA,5.0,7.5,5.7,9
1107,NLD,Volkspartij voor Vrijheid en Demokratie,Liberal,VVD,6.0,8.0,7.4,9
1108,NLD,Gereformeerd Politiek Verbond,,GPV,8.0,10.0,9.0,9
1109,NLD,Reformatische Politieke Federatie,,RPF,8.0,10.0,9.2,9
1110,NLD,Staatkundig Gereformeerde Partij,,SGP,8.0,10.0,9.2,9
1201,NZL,Labour Party,,LAB,3.0,4.5,3.8,4
1202,NZL,Social Credit Political League,,SC,5.0,6.5,5.6,4
1203,NZL,National Party,,NP,5.5,6.5,6.0,4
1301,NOR,Sosialistisk Venstreparti,Left Socialists,SV,0.0,2.0,1.2,7
1302,NOR,Det Norske Arbeiderparti,Labour,DNA,2.5,4.0,3.0,7
1303,NOR,Venstre,Liberal,V,3.8,5.0,4.0,7
1304,NOR,Senterpartiet,Centre Party,SP,5.0,7.5,5.8,7
1305,NOR,Kristelig Folkeparti(Christian People's Party,,KrF,5.0,7.0,6.1,7
1306,NOR,Hoyre,Conservative,H,7.5,8.0,7.7,7
1307,NOR,Fremskrittspartiet,Progress Party,Fp,8.5,10.0,9.4,7
1401,ESP,Herri Batasuna,,HB,0.0,1.5,0.5,7
1402,ESP,Union del Pueblo Canario,,UCP,0.0,1.0,0.7,7
1403,ESP,Euskadico Esquerra,,EE,2.0,3.0,2.4,7
1404,ESP,Partido Comunista,Communist,PCE,2.0,4.0,2.7,7
1405,ESP,Partido Socialista Obrero,Socialist,PSOE,2.5,5.0,3.6,7
1406,ESP,Esquerra Republicana de Catalunya,,ERC,2.0,6.5,4.1,7
1407,ESP,Partido Socialista de Andalucia,Andalusian Socialists,PSA,2.5,6.5,4.5,7
1408,ESP,Convergencia y Union,,CiU,6.0,7.5,6.6,7
1409,ESP,Partido Nacionalista Vasco,,PNV,6.0,8.0,6.7,7
1410,ESP,Union del Centro Democratico,,UCD,6.5,7.5,7.1,7
1411,ESP,Partido Aragones Regionalista,,PAR,7.5,8.5,8.2,7
1412,ESP,Alianza Popular,,AP,7.5,9.0,8.4,7
1413,ESP,Union Nacional/Fuerza Nueva,,UN/FN,9.0,10.0,9.8,7
1501,SWE,Vansterpartiet Kommunisterna Communist,,VPK,0.0,2.4,1.2,10
1502,SWE,Socialdemokratiska Arbetarpartiet,Social Democrat,SD,2.5,4.0,2.9,10
1503,SWE,Folkpartiet,People's Party,FP,4.0,7.0,5.5,10
1504,SWE,Centerpartiet,Centre Party,CP,5.0,7.5,5.9,10
1505,SWE,Moderata Samlingspartiet,Conservative,M,6.0,10.0,7.7,10
1601,GBR,Labour Party,,LAB,1.0,3.5,2.3,17
1602,GBR,Plaid Cymru,,PC,1.0,6.0,3.4,17
1603,GBR,Scottish National Party,,SNP,2.5,6.5,4.4,17
1604,GBR,Social Democratic Party,,SDP,3.0,8.0,4.6,17
1605,GBR,Liberal Party,,Lib,3.5,7.5,5.0,17
1606,GBR,Conservative Party,,Con,6.5,9.0,7.8,17
1607,GBR,Ulster Unionists,,UU,7.5,10.0,8.3,17
1701,USA,Democrats,,D,4.0,6.0,4.8,6
1702,USA,Republicans,,R,5.8,8.0,6.8,6
