tbl,idx,stat
mp,,10041
info_id,info_id_2ffcd08c,69 2
info_id,info_id_3ba08eca,69 2
info_id,info_id_67219af6,69 9
info_id,sqlite_autoindex_info_id_1,69 9 1
party_family,party_family_777d41c8,334 14
party_family,party_family_764fa81,334 2
mp_deu,mp_deu_764fa81,7911 7911
external_party_euprofiler,sqlite_autoindex_external_party_euprofiler_1,274 1
commissioner,commissioner_764fa81,222 4
commissioner,commissioner_21b911c5,222 2
commissioner,commissioner_534dd89,222 9
commissioner,commissioner_67a244e3,222 18
commission,commission_52094d6e,13 1
external_party_huber_inglehart,sqlite_autoindex_external_party_huber_inglehart_1,300 1
mp_ep_person,mp_ep_person_764fa81,2870 14
mp_ep_person,mp_ep_person_534dd89,2870 115
info_data_source,sqlite_autoindex_info_data_source_1,164 1
mp_ep,mp_ep_2c0a4aa5,6664 3
external_party_chess,external_party_chess_a9e7aee,251 11
external_party_chess,sqlite_autoindex_external_party_chess_1,251 1
external_party_castles_mair,external_party_castles_mair_a9e7aee,119 7
external_party_castles_mair,sqlite_autoindex_external_party_castles_mair_1,119 1
info_table,sqlite_autoindex_info_table_1,52 1
